model,layer,expert_i,expert_j,comparison,category,same_group_a0,same_group_a05,same_group_a1,hc_mean_l2,hc_mean_rel_l2,coactivation_rate,routing_jaccard,active_union_rel_l2,corouted_rel_l2,num_union_tokens,num_corouted_tokens
qwen,0,3,4,0_vs_05,hybrid_only_vs_hc,False,True,True,0.35558614134788513,1.2676723003387451,0.0103759765625,0.07391304347826087,1.4142103605685026,1.3548708046183866,2300,170
qwen,0,3,7,05_vs_1,shared_05_1,False,True,True,0.29344382882118225,1.2839667797088623,0.00323486328125,0.02225020990764064,1.4408933081414697,1.427428461470694,2382,53
qwen,0,3,7,0_vs_05,hybrid_only_vs_hc,False,True,True,0.29344382882118225,1.2839667797088623,0.00323486328125,0.02225020990764064,1.4408933081414697,1.427428461470694,2382,53
qwen,0,3,8,05_vs_1,shared_05_1,False,True,True,0.32156649231910706,1.3362959623336792,0.00335693359375,0.022643062988884313,1.4770703482598422,1.4738988941366022,2429,55
qwen,0,3,8,0_vs_05,hybrid_only_vs_hc,False,True,True,0.32156649231910706,1.3362959623336792,0.00335693359375,0.022643062988884313,1.4770703482598422,1.4738988941366022,2429,55
qwen,0,3,9,05_vs_1,routing_only,False,False,True,0.5713275074958801,1.4528182744979858,0.0047607421875,0.040880503144654086,1.4253121874367416,1.3926661335504973,1908,78
qwen,0,3,10,05_vs_1,shared_05_1,False,True,True,0.3622969090938568,1.3291782140731812,0.0003662109375,0.002574002574002574,1.452198318635277,nan,2331,6
qwen,0,3,10,0_vs_05,hybrid_only_vs_hc,False,True,True,0.3622969090938568,1.3291782140731812,0.0003662109375,0.002574002574002574,1.452198318635277,nan,2331,6
qwen,0,3,11,05_vs_1,hybrid_only_vs_routing,False,True,False,0.31131377816200256,1.3037316799163818,0.00152587890625,0.011037527593818985,1.4550313831691448,nan,2265,25
qwen,0,3,11,0_vs_05,hybrid_only_vs_hc,False,True,False,0.31131377816200256,1.3037316799163818,0.00152587890625,0.011037527593818985,1.4550313831691448,nan,2265,25
qwen,0,3,12,05_vs_1,shared_05_1,False,True,True,0.28221121430397034,1.3845481872558594,0.00592041015625,0.04118895966029724,1.4713012905890268,1.4921472478158695,2355,97
qwen,0,3,12,0_vs_05,hybrid_only_vs_hc,False,True,True,0.28221121430397034,1.3845481872558594,0.00592041015625,0.04118895966029724,1.4713012905890268,1.4921472478158695,2355,97
qwen,0,3,13,05_vs_1,hybrid_only_vs_routing,False,True,False,0.2542443573474884,1.465404987335205,0.00665283203125,0.051954242135367014,1.4721110698947233,1.4893161178728855,2098,109
qwen,0,3,13,0_vs_05,hybrid_only_vs_hc,False,True,False,0.2542443573474884,1.465404987335205,0.00665283203125,0.051954242135367014,1.4721110698947233,1.4893161178728855,2098,109
qwen,0,3,14,05_vs_1,shared_05_1,False,True,True,0.32843324542045593,1.2721432447433472,0.007568359375,0.054266958424507655,1.43586934254519,1.43731701566327,2285,124
qwen,0,3,14,0_vs_05,hybrid_only_vs_hc,False,True,True,0.32843324542045593,1.2721432447433472,0.007568359375,0.054266958424507655,1.43586934254519,1.43731701566327,2285,124
qwen,0,3,15,05_vs_1,shared_05_1,False,True,True,0.2686767876148224,1.3673861026763916,0.002685546875,0.018204385601985933,1.4622666536898568,1.4751840748570182,2417,44
qwen,0,3,15,0_vs_05,hybrid_only_vs_hc,False,True,True,0.2686767876148224,1.3673861026763916,0.002685546875,0.018204385601985933,1.4622666536898568,1.4751840748570182,2417,44
qwen,0,3,16,05_vs_1,hybrid_only_vs_routing,False,True,False,0.25555744767189026,1.4075987339019775,0.00225830078125,0.017185322805387832,1.4702143755503936,1.4435304177773964,2153,37
