method,alpha,layer,groups,group_size_pattern,num_groups,unique_group_count_1,unique_group_count_2,unique_group_count_3,unique_group_count_4,unique_group_rate_1,unique_group_rate_2,unique_group_rate_3,unique_group_rate_4,mean_unique_groups,mean_intragroup_output_distance,initial_pairwise_same_group_routing_mass
objective_aware,1.0,10,"[[0,1,3,4,5,8,9,10,12,14,15,18,22,24,26,27,29,31,32,33,35,37,38,40,42,48,49,50,52,57,58],[2],[6],[7],[11],[13],[16],[17],[19],[20],[21],[23],[25],[28],[30],[34],[36],[39],[41],[43],[44],[45],[46],[47],[51],[53],[54],[55],[56],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,5329,18733,22674,18800,0.0813140869140625,0.2858428955078125,0.345977783203125,0.286865234375,2.8383941650390625,0.9047547223747417,1.6913909912109375
legacy_pairwise_hc,1.0,10,"[[0,1,3,4,5,8,9,10,12,14,15,18,22,24,26,27,29,31,32,33,35,37,38,40,42,48,49,50,52,57,58],[2],[6],[7],[11],[13],[16],[17],[19],[20],[21],[23],[25],[28],[30],[34],[36],[39],[41],[43],[44],[45],[46],[47],[51],[53],[54],[55],[56],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,5329,18733,22674,18800,0.0813140869140625,0.2858428955078125,0.345977783203125,0.286865234375,2.8383941650390625,0.9047547223747417,1.6913909912109375
objective_aware,1.0,11,"[[0,1,6,8,9,10,12,14,18,19,20,21,22,23,24,27,31,33,36,37,38,39,40,46,47,48,49,50,51,53,55],[2],[3],[4],[5],[7],[11],[13],[15],[16],[17],[25],[26],[28],[29],[30],[32],[34],[35],[41],[42],[43],[44],[45],[52],[54],[56],[57],[58],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,4743,19109,21559,20125,0.0723724365234375,0.2915802001953125,0.3289642333984375,0.3070831298828125,2.870758056640625,0.9790257652600606,1.637939453125
legacy_pairwise_hc,1.0,11,"[[0,1,6,8,9,10,12,14,18,19,20,21,22,23,24,27,31,33,36,37,38,39,40,46,47,48,49,50,51,53,55],[2],[3],[4],[5],[7],[11],[13],[15],[16],[17],[25],[26],[28],[29],[30],[32],[34],[35],[41],[42],[43],[44],[45],[52],[54],[56],[57],[58],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,4743,19109,21559,20125,0.0723724365234375,0.2915802001953125,0.3289642333984375,0.3070831298828125,2.870758056640625,0.9790257652600606,1.637939453125
objective_aware,1.0,12,"[[0],[1,2,3,6,8,11,14,15,18,23,24,25,28,29,32,35,36,37,38,39,40,41,44,46,47,50,51,52,54,55,57],[4],[5],[7],[9],[10],[12],[13],[16],[17],[19],[20],[21],[22],[26],[27],[30],[31],[33],[34],[42],[43],[45],[48],[49],[53],[56],[58],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,7154,15232,21595,21555,0.109161376953125,0.232421875,0.3295135498046875,0.3289031982421875,2.8781585693359375,1.1281809465859527,1.6817474365234375
legacy_pairwise_hc,1.0,12,"[[0],[1,2,3,6,8,11,14,15,18,23,24,25,28,29,32,35,36,37,38,39,40,41,44,46,47,50,51,52,54,55,57],[4],[5],[7],[9],[10],[12],[13],[16],[17],[19],[20],[21],[22],[26],[27],[30],[31],[33],[34],[42],[43],[45],[48],[49],[53],[56],[58],[59]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,7154,15232,21595,21555,0.109161376953125,0.232421875,0.3295135498046875,0.3289031982421875,2.8781585693359375,1.1281809465859527,1.6817474365234375
objective_aware,1.0,13,"[[0],[1],[2],[3],[4,5,6,7,8,15,16,17,18,19,20,22,24,26,27,29,34,36,37,41,43,44,49,51,52,53,54,56,57,58,59],[9],[10],[11],[12],[13],[14],[21],[23],[25],[28],[30],[31],[32],[33],[35],[38],[39],[40],[42],[45],[46],[47],[48],[50],[55]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,4447,18504,23888,18697,0.0678558349609375,0.2823486328125,0.364501953125,0.2852935791015625,2.8672332763671875,1.297911956361545,1.618682861328125
legacy_pairwise_hc,1.0,13,"[[0],[1],[2],[3],[4,5,6,7,8,15,16,17,18,19,20,22,24,26,27,29,34,36,37,41,43,44,49,51,52,53,54,56,57,58,59],[9],[10],[11],[12],[13],[14],[21],[23],[25],[28],[30],[31],[32],[33],[35],[38],[39],[40],[42],[45],[46],[47],[48],[50],[55]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,4447,18504,23888,18697,0.0678558349609375,0.2823486328125,0.364501953125,0.2852935791015625,2.8672332763671875,1.297911956361545,1.618682861328125
objective_aware,1.0,14,"[[0,2,3,4,5,7,11,12,16,18,21,23,24,25,26,27,28,30,31,32,35,39,41,42,44,47,51,52,55,57,59],[1],[6],[8],[9],[10],[13],[14],[15],[17],[19],[20],[22],[29],[33],[34],[36],[37],[38],[40],[43],[45],[46],[48],[49],[50],[53],[54],[56],[58]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,4101,18978,23930,18527,0.0625762939453125,0.289581298828125,0.365142822265625,0.2826995849609375,2.8679656982421875,1.6400949173076178,1.609344482421875
legacy_pairwise_hc,1.0,14,"[[0,2,3,4,5,7,11,12,16,18,21,23,24,25,26,27,28,30,31,32,35,39,41,42,44,47,51,52,55,57,59],[1],[6],[8],[9],[10],[13],[14],[15],[17],[19],[20],[22],[29],[33],[34],[36],[37],[38],[40],[43],[45],[46],[48],[49],[50],[53],[54],[56],[58]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,4101,18978,23930,18527,0.0625762939453125,0.289581298828125,0.365142822265625,0.2826995849609375,2.8679656982421875,1.6400949173076178,1.609344482421875
